#pid,tamanho,io_percent,t_execucao
1,8,36,16
2,8,34,1
3,9,32,43
4,9,26,6
5,9,3,13
6,4,13,33
7,5,28,19
8,8,13,41
9,4,12,35
10,3,42,44
11,2,46,16
12,1,28,20
13,2,23,35
14,6,49,21
15,9,24,13
16,6,41,28
17,2,6,34
18,5,29,22
19,0,46,15
20,6,34,45
21,9,1,17
22,0,28,12
23,4,42,43
24,6,35,32
25,7,15,14
26,8,11,43
27,5,28,25
28,9,8,5
29,2,4,24
30,1,36,42
31,7,3,36
32,3,43,7
33,1,38,15
34,2,30,9
35,3,39,15
36,4,2,16
37,1,28,2
38,3,14,35
39,6,48,40
40,0,15,14
41,5,13,37
42,9,49,46
43,8,0,2
44,0,22,11
45,4,21,43
46,5,28,17
47,1,48,21
48,6,13,43
49,9,13,36
50,3,11,25
51,9,7,17
52,5,34,11
53,1,18,34
54,7,1,6
55,6,33,38
56,3,31,14
57,2,42,8
58,8,19,40
59,4,14,30
60,3,15,27
61,0,27,20
62,1,14,48
63,3,31,33
64,5,21,23
65,9,38,17
66,9,31,17
67,5,10,20
68,4,27,43
69,1,44,11
70,3,15,19
71,3,13,7
72,3,15,32
73,0,44,12
74,1,29,20
75,4,24,2
76,6,38,27
77,1,38,28
78,2,35,20
79,1,43,9
80,5,49,37
81,5,24,13
82,2,3,37
83,2,11,9
84,9,48,14
85,4,8,30
86,9,47,17
87,1,26,17
88,0,25,24
89,8,10,34
90,8,28,8
91,2,7,12
92,6,47,43
93,9,14,24
94,5,46,5
95,9,41,28
96,0,39,37
97,6,5,45
98,1,36,45
99,8,5,12
100,6,9,31
